frame,experiment,iou,lethal_iou,detection_rate,false_positive_rate,clearance_pred_m,clearance_gt_m,occupied_cells_pred,occupied_cells_gt,inflation_radius_m,timing_ms
000044,A4,0.736018,0.663004,0.943937,0.022676,0.570088,0.509902,1290,1038,0.1580,48.83
000045,Baseline,1.000000,1.000000,1.000000,0.000000,0.450000,0.450000,929,929,0.0900,17.08
000045,A1,1.000000,1.000000,1.000000,0.000000,0.450000,0.450000,929,929,0.1800,42.32
000045,A2,0.752227,0.632265,1.000000,0.022715,0.450000,0.450000,1235,929,0.0900,38.69
000045,A3,0.752227,0.632265,1.000000,0.022715,0.450000,0.450000,1235,929,0.1800,64.67
000045,A4,0.555466,0.419840,0.664025,0.022715,0.550000,0.450000,992,929,0.1656,53.18
000046,Baseline,1.000000,1.000000,1.000000,0.000000,0.300000,0.300000,723,723,0.0900,17.37
000046,A1,1.000000,1.000000,1.000000,0.000000,0.300000,0.300000,723,723,0.1800,44.25
000046,A2,0.592623,0.459847,1.000000,0.036338,0.300000,0.300000,1220,723,0.0900,44.37
000046,A3,0.592623,0.459847,1.000000,0.036338,0.300000,0.300000,1220,723,0.1800,76.11
000046,A4,0.498361,0.380497,0.827443,0.036338,0.855862,0.300000,1105,723,0.1074,67.69
000047,Baseline,1.000000,1.000000,1.000000,0.000000,0.447214,0.447214,1141,1141,0.0900,17.41
000047,A1,1.000000,1.000000,1.000000,0.000000,0.447214,0.447214,1141,1141,0.1722,43.69
000047,A2,0.817921,0.702024,1.000000,0.019157,0.447214,0.447214,1395,1141,0.0900,40.37
000047,A3,0.817921,0.702024,1.000000,0.019157,0.447214,0.447214,1395,1141,0.1722,66.72
000047,A4,0.756272,0.655870,0.934256,0.019157,0.900000,0.447214,1309,1141,0.0990,63.01
000048,Baseline,1.000000,1.000000,1.000000,0.000000,0.901388,0.901388,1132,1132,0.0900,15.54
000048,A1,1.000000,1.000000,1.000000,0.000000,0.901388,0.901388,1132,1132,0.1800,34.46
000048,A2,0.838519,0.753481,1.000000,0.016431,0.901388,0.901388,1350,1132,0.0900,32.47
000048,A3,0.838519,0.753481,1.000000,0.016431,0.901388,0.901388,1350,1132,0.1800,53.00
000048,A4,0.820000,0.734644,0.975000,0.016431,1.000000,0.901388,1325,1132,0.1717,42.52
000049,Baseline,1.000000,1.000000,1.000000,0.000000,0.604152,0.604152,1114,1114,0.0900,14.32
000049,A1,1.000000,1.000000,1.000000,0.000000,0.604152,0.604152,1114,1114,0.1800,34.85
000049,A2,0.779021,0.684538,1.000000,0.023784,0.559017,0.604152,1430,1114,0.0900,31.76
000049,A3,0.779021,0.684538,1.000000,0.023784,0.559017,0.604152,1430,1114,0.1800,52.35
000049,A4,0.777622,0.680653,0.994325,0.023784,0.559017,0.604152,1428,1114,0.1800,42.71
000050,Baseline,1.000000,1.000000,1.000000,0.000000,0.559017,0.559017,1128,1128,0.0900,19.73
000050,A1,1.000000,1.000000,1.000000,0.000000,0.559017,0.559017,1128,1128,0.1779,46.04
000050,A2,0.767869,0.687453,1.000000,0.025693,0.559017,0.559017,1469,1128,0.0900,42.16
000050,A3,0.767869,0.687453,1.000000,0.025693,0.559017,0.559017,1469,1128,0.1779,64.62
000050,A4,0.727706,0.661908,0.962842,0.025693,0.900000,0.559017,1410,1128,0.1643,53.96
000051,Baseline,1.000000,1.000000,1.000000,0.000000,1.001249,1.001249,1157,1157,0.0900,15.84
000051,A1,1.000000,1.000000,1.000000,0.000000,1.001249,1.001249,1157,1157,0.0841,37.66
000051,A2,0.800138,0.709311,1.000000,0.021823,0.996243,1.001249,1446,1157,0.0900,32.92
000051,A3,0.800138,0.709311,1.000000,0.021823,0.996243,1.001249,1446,1157,0.0841,53.00
000051,A4,0.769018,0.680545,0.959445,0.021823,0.996243,1.001249,1401,1157,0.0825,46.22
000052,Baseline,1.000000,1.000000,1.000000,0.000000,1.001249,1.001249,1019,1019,0.0900,15.50
000052,A1,1.000000,1.000000,1.000000,0.000000,1.001249,1.001249,1019,1019,0.0902,36.11
000052,A2,0.745428,0.657258,1.000000,0.026007,1.000000,1.001249,1367,1019,0.0900,33.49
000052,A3,0.745428,0.657258,1.000000,0.026007,1.000000,1.001249,1367,1019,0.0902,54.13
000052,A4,0.728603,0.637903,0.970552,0.026007,1.000000,1.001249,1344,1019,0.0876,43.65
000053,Baseline,1.000000,1.000000,1.000000,0.000000,1.001249,1.001249,971,971,0.0900,18.81
000053,A1,1.000000,1.000000,1.000000,0.000000,1.001249,1.001249,971,971,0.0958,49.20
000053,A2,0.704133,0.609600,1.000000,0.030382,0.955249,1.001249,1379,971,0.0900,39.57
000053,A3,0.704133,0.609600,1.000000,0.030382,0.955249,1.001249,1379,971,0.0958,63.88
